	Publisher	pmcid	FigURL	Caption	PDFURL	FigName
0	Nucleic Acids Research	PMC2761290	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2761290/bin/gkp643f5.jpg	Rep68 dose dependency of HR-mediated gene targeting at AAVS1. (A) Phase-contrast microscopy (upper panel) and hrGFP direct fluorescence microscopy (lower panel) of HeLa cells that were mock-transfected (mock) and of HeLa cells that were transfected with targeting vector pA1.GFP.A2 mixed with ‘empty plasmid’ (−Rep) or mixed with plasmid pGAPDH.Rep68(Y156F) encoding the endonuclease-deficient version of Rep68 Y156F. In parallel, phase-contrast microscopy (upper panel) and hrGFP direct fluorescence microscopy (lower panel) was carried out on HeLa cells transfected with pA1.GFP.A2 together with increasing amounts of rep68 expression construct pGAPDH.Rep68 (i.e. 1, 3.3, 10, 33.3 and 100 ng). The total amount of transfected recombinant DNA was kept constant by adding, whenever required, extra ‘empty plasmid’. Micrographs were acquired at 72-h post-transfection. Numerals below the various columns correspond to the deployed amounts (in nanograms) of the rep68 expression plasmids and of the pA1.GFP.A2 targeting DNA. Original magnification: 100×. (B) Agarose gel <b>electrophoresis</b> of PCR products resulting from amplifications performed on genomic DNA samples with the aid of primers #649 and #651 plus primers #649 and #186 (upper panel), as diagrammed in Figure 2A. Genomic DNA was isolated at 4 days post-transfection from mock-transfected HeLa cells (mock), from HeLa cells co-transfected with pA1.GFP.A2 and ‘empty plasmid’ (−Rep), from HeLa cells co-transfected with pA1.GFP.A2 and pGAPDH.Rep68(Y156F) (Y156F), and from HeLa cells transfected with pA1.GFP.A2 mixed with increasing amounts of pGAPDH.Rep68 (i.e. 1, 3.3, 10, 33.3 and 100 ng) (upper panel). The negative (−) and positive (+) controls were obtained using nuclease-free water and genomic DNA isolated from HeLa cell clone 25 (Figure 2B, upper two panels) as starting material. Lanes M, Gene Ruler DNA Ladder Mix molecular weight marker. Agarose gel <b>electrophoresis</b> of PCR species resulting from amplifications performed with the aid of the human HPRT1-specific primers hHPRT.1 (#49) and hHPRT.2 (#50) (lower panel). These reactions were carried out in parallel and served as an internal control to monitor chromosomal DNA integrity. The positions and sizes (in kilo base pairs) of the amplicons are indicated by solid arrows.		PMC2761290_gkp643f5.jpg
1	Biochimica Et Biophysica Acta	PMC3223524	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3223524/bin/gr2.jpg	Sensitivity of mtDNA replication intermediates to S1 nuclease upon DNA ligase III depletion. (A) Analysis of a DraI-digested fragment of mtDNA with two-dimensional agarose gel <b>electrophoresis</b>. (a) A schematic drawing of the fragment visualised by Southern hybridisation. The non-replicating molecules (1N spot) and replication intermediates (Y arc) are indicated. The molecule structure of the DraI-digested mtDNA replication intermediates at 3 different positions of Y arc is drawn in the insets with a black bar as non-replicating portion and grey bars as replicated portions of the fragment. The apex region of the Y arc used for the quantification is indicated as a grey rectangle and the region of 1N spot used for the quantification as a grey dotted circle. More information on the fragment is provided in Supplementary Fig. 1B. (b–e) The DraI-digested mtDNA fragment of scramble (Sc) dsRNA or DNA ligase III-specific (LIII) dsRNA-treated cells without (− S1) (b and c) and with S1 nuclease treatment (+ S1) (d and e). The samples in panels b–e were run in the same second dimension gel and panels b–e were produced from an X-ray film. Panels c′ and e′ are a longer exposure version of panels c and e. (B) Numerical presentation of the Y arc stability against S1 nuclease. The value of (y/1n [+ S1])/(y/1n [− S1]) from Sc dsRNA-treated samples is expressed as 100 and the relative value from LIII dsRNA-treated samples was calculated. Data represent the mean of 3 independent transfection experiments ± SEM.Sensitivity of mtDNA replication intermediates to S1 nuclease upon DNA ligase III depletion. (A) Analysis of a DraI-digested fragment of mtDNA with two-dimensional agarose gel <b>electrophoresis</b>. (a) A schematic drawing of the fragment visualised by Southern hybridisation. The non-replicating molecules (1N spot) and replication intermediates (Y arc) are indicated. The molecule structure of the DraI-digested mtDNA replication intermediates at 3 different positions of Y arc is drawn in the insets with a black bar as non-replicating portion and grey bars as replicated portions of the fragment. The apex region of the Y arc used for the quantification is indicated as a grey rectangle and the region of 1N spot used for the quantification as a grey dotted circle. More information on the fragment is provided in Supplementary Fig. 1B. (b–e) The DraI-digested mtDNA fragment of scramble (Sc) dsRNA or DNA ligase III-specific (LIII) dsRNA-treated cells without (− S1) (b and c) and with S1 nuclease treatment (+ S1) (d and e). The samples in panels b–e were run in the same second dimension gel and panels b–e were produced from an X-ray film. Panels c′ and e′ are a longer exposure version of panels c and e. (B) Numerical presentation of the Y arc stability against S1 nuclease. The value of (y/1n [+ S1])/(y/1n [− S1]) from Sc dsRNA-treated samples is expressed as 100 and the relative value from LIII dsRNA-treated samples was calculated. Data represent the mean of 3 independent transfection experiments ± SEM.		PMC3223524_gr2.jpg
2	Plos One	PMC3540078	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3540078/bin/pone.0053018.g001.jpg	Fluorescent protein profiles of a set of six gels.Experimental design is described in Table 1. A&amp;B represents Fusarium early keratitis; C&amp;D represents Fusarium intermediate keratitis; E&amp;F represents Fusarium late keratitis; A1–F1 represents control tears; A2–F2 represents the pooled internal standard. Each gel contained 90 µg of total protein separated by a pH 4–7 IPG strip in the first dimension and 12.5% polyacrylamide gel in the second dimension <b>electrophoresis</b>. Images were captured using a Typhoon Trio Variable Mode Imager.		PMC3540078_pone.0053018.g001.jpg
3	The Febs Journal	PMC2702495	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2702495/bin/ejb0276-1266-f2.jpg	Aβ(M1–40) and Aβ(M1–42) are expressed in inclusion bodies. (A–D) Pellets of bacteria expressing Aβ(M1–40) (A,B) or Aβ(M1–42) (C,D) were subjected to three rounds of sonication in buffer, and at the end of each sonication step the suspension was centrifuged and the supernatants (labeled S1, S2 and S3) were stored pending analysis. The pellet was then extracted in 8 m urea (fraction labeled U), and purified by ion exchange (fraction labeled IE), filtration through a 30 kDa molecular mass cut-off filter (fraction labeled 30) and concentration on a 3 kDa molecular mass cut-off filter (fraction labeled 3). All fractions were electrophoresed on 10–20% polyacrylamide Tris-tricine gels (A,C) and 1% agarose gels (B,D), and proteins were visualized by Coomassie stain. Lanes HS and LS are molecular mass standards, with the molecular mass in kDa given on the left. (E) 1% agarose gel <b>electrophoresis</b> of urea extracts of inclusion bodies from bacteria expressing Aβ(M1–40) with wild-type (wt) sequence or with the following point mutations: A21G, E22G, E22K, E22Q and D23N. The net charge of each peptide is indicated underneath each lane.		PMC2702495_ejb0276-1266-f2.jpg
4	Plos One	PMC4562646	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4562646/bin/pone.0136532.g007.jpg	Microwave-assisted rolling circle amplification reaction mixtures containing 4-fold increased concentrations of one component.(a) Agarose gel <b>electrophoresis</b> results. (b) Fluorescence intensity of SYBR Green I. C = conventional, MW = microwave.		PMC4562646_pone.0136532.g007.jpg
5	Bmc Genomics	PMC1626470	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1626470/bin/1471-2164-7-270-1.jpg	Localization of a plasmid replicon in native plasmids from YBT-1765. (A) Profile of agarose gel <b>electrophoresis</b>. (B) Southern blot with the 12 kb EcoRI fragment from pBMB1651 as probe. Lane 1, the total plasmid of YBT-1765 digested with EcoRI; Lane 2, the total plasmid of YBT-1765; Lane 3, λ HindIII marker.		PMC1626470_1471-2164-7-270-1.jpg
6	Plos One	PMC4100801	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4100801/bin/pone.0102175.g005.jpg	Two-dimensional electrophoretogram of proteins from mature leaves of pear.The sample loading amount was 150 µg/strip; IPG strip used was pH 4–7, 17 cm, linear; 12% polyacrylamide gel. a. Method A; b. Method B. a1–a4, b1–b4 show the different areas between gel a and gel b.		PMC4100801_pone.0102175.g005.jpg
7	Analytical Chemistry	PMC2682429	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2682429/bin/ac-2009-00281n_0003.jpg	Irreversible pI shift of bovine RNase A in 2-DE in the presence of NaCl: For denatured IEF, RNase A was resolved by pH 4−11 2-DE under (A) regular conditions or (B) priming IEF in the presence of 20 mM NaCl followed by in-gel dialysis and refocusing IEF in rehydration buffer containing 100 mM DTT. For native IEF, RNase A was resolved by pH 4−11 2-DE, in 0.5% IPG buffer (C) under regular conditions or (D) in the presence of 20 mM NaCl or (E) under priming IEF in the presence 20 mM NaCl followed by in-gel dialysis and refocusing IEF. Before in-gel dialysis, priming IEF was carried out at a maximal voltage of 500 V for 200 voltage hours.		PMC2682429_ac-2009-00281n_0003.jpg
8	Bmc Microbiology	PMC4493947	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4493947/bin/12866_2015_438_Fig2_HTML.jpg	Isolation and identification of inoculated P.gingivalis W83. (A) Some suspicious black colonies were found from plaque mixture. (B) Suspious black colonies were pure cultured. (C) Gram staining proved the pure culture as gram-negative brevibacterium (×400). (D) Agarose gel <b>electrophoresis</b> proved that PCR fragment length was 857 bp. 1 and 2: Wild type P.gingivalis W83; 3–8: three inoculated P.gingivalis W83 samples for microarray analysis (two columns for each sample)		PMC4493947_12866_2015_438_Fig2_HTML.jpg
9	Plos Neglected Tropical Diseases	PMC4900637	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4900637/bin/pntd.0004587.g001.jpg	Agarose gel <b>electrophoresis</b> showing cDNA transcripts amplified from mRNA in venomous snake venoms.Various amounts of fresh venom (A) and lyophilized venom (B) from Crotalus simus tzabcan were used to determine optimal amplification conditions for phospholipase A2 transcripts. Regions of phospholipase A2 Mojave toxin subunit A (sA) and subunit B (sB) cDNAs were amplified to demonstrate transcript detectability in Crotalus scutulatus scutulatus venom (C). Three-finger toxin cDNA sequences were also amplified from mRNA derived from venoms of rear-fanged snakes (D).		PMC4900637_pntd.0004587.g001.jpg
